loan_id,borrower_id,application_date,loan_amount,loan_term,interest_rate,collateral_ratio,market_volatility,eth_price,btc_price,defi_tvl,trust_score,income,debt_to_income,age,employment_length,num_delinquencies,num_credit_lines,event_date,event_type,defaulted,loss_given_default,loss_amount,default_probability
L000001,B0001,2023-01-26,3584.3305765657296,90,0.07135768193472511,1.8341723345346994,0.23751360721755635,1718.84894385614,13145.432315511169,11040244373.181902,0.6156354589595345,55034.385154241405,0.3015813298346684,35,6.090706055609723,1,7,2023-04-26,maturity,0,0.0,0.0,0.0
L000002,B0002,2023-08-17,13159.684398599404,60,0.06658569573134615,2.783966652311698,0.2874870875309217,2081.059799310687,26789.719711267066,11202851821.767405,0.499996616136798,56431.485049049836,0.2702953695071609,31,2.0281561741928043,0,2,2023-10-16,maturity,0,0.0,0.0,0.0
L000003,B0002,2023-04-15,7459.630660485466,365,0.09692801588953504,2.3740576479354893,0.1639269441755594,1666.5511762160666,29735.252616189715,7776573292.05106,0.499996616136798,56431.485049049836,0.2702953695071609,31,2.0281561741928043,0,2,2024-04-14,maturity,0,0.0,0.0,0.0
L000004,B0003,2024-08-27,2965.421258022909,180,0.08860770182614175,1.7540323322248712,0.2924097940966228,2837.870880133481,24721.889699046977,20418980394.657024,0.618607530492636,20100.85669537432,0.1045381151665044,68,12.985527812662736,2,2,2025-02-23,maturity,0,0.0,0.0,0.0
L000005,B0004,2023-01-31,7778.192951004999,30,0.07145492445001692,2.0278600665704665,0.22839878197125457,1100.4725217514501,35382.64291793391,12673421473.586672,0.3141104627643281,30623.009237450166,0.22500264590260194,41,1.172966066339112,2,6,2023-03-02,maturity,0,0.0,0.0,0.0
L000006,B0005,2023-08-27,2903.724288079743,365,0.037339766827429,1.683104394899213,0.4208250428996841,1459.7644948770726,29551.402398831095,8815286179.437746,0.9025159779864478,74373.70397323558,0.09145853481195196,30,2.3508668536554422,0,8,2024-08-26,maturity,0,0.0,0.0,0.0
L000007,B0005,2024-09-08,29373.49829777299,30,0.03191097764409315,2.3485392229458286,0.15290668021736603,1610.9671587557891,26821.25593704088,8604183890.28848,0.9025159779864478,74373.70397323558,0.09145853481195196,30,2.3508668536554422,0,8,2024-10-08,maturity,0,0.0,0.0,0.0
L000008,B0006,2023-07-23,2065.404572370271,365,0.08789447537810628,1.0703058224244921,0.05,2000.2288829695897,53032.91439922326,48991593710.1997,0.2416794010866928,62117.82802967064,0.5457859386668806,24,17.14592280401768,0,4,2024-07-22,maturity,0,0.0,0.0,0.0
L000009,B0006,2024-03-05,13890.130429227564,60,0.0890373168789183,1.4213678660108489,0.25397664303241546,1169.3956619605801,28505.34135428087,15176495108.78578,0.2416794010866928,62117.82802967064,0.5457859386668806,24,17.14592280401768,0,4,2024-05-04,maturity,0,0.0,0.0,0.0
L000010,B0006,2024-04-04,7395.190890108089,365,0.07189293949360634,1.4634967683479663,0.2212243487946146,1999.6130676426703,57020.06519474316,2802953863.4776773,0.2416794010866928,62117.82802967064,0.5457859386668806,24,17.14592280401768,0,4,2025-04-04,maturity,0,0.0,0.0,0.0
L000011,B0006,2023-10-12,6201.819772018297,30,0.14826393604006982,2.0123805813137605,0.05,1369.996131120242,36725.42572498277,7638749296.327655,0.2416794010866928,62117.82802967064,0.5457859386668806,24,17.14592280401768,0,4,2023-11-11,maturity,0,0.0,0.0,0.0
L000012,B0006,2023-06-13,7467.144387297557,180,0.16326579656396412,2.045658501770214,0.321972587292093,1746.3863167802074,40202.273005736424,9190608385.651217,0.2416794010866928,62117.82802967064,0.5457859386668806,24,17.14592280401768,0,4,2023-12-10,maturity,0,0.0,0.0,0.0
L000013,B0007,2023-10-12,4667.2751204813185,60,0.1077865921441053,1.9856875479389395,0.20032443440781994,665.6501256771838,43419.39443536948,3638566753.342907,0.7582342954533831,15935.176915493974,0.041859411542165034,18,3.1641643795276524,1,6,2023-12-11,maturity,0,0.0,0.0,0.0
L000014,B0007,2023-08-09,1766.2547860713971,90,0.01,2.2922727047009706,0.24173034615036176,1639.6801400693748,55585.14236308573,12714570014.42912,0.7582342954533831,15935.176915493974,0.041859411542165034,18,3.1641643795276524,1,6,2023-11-07,maturity,0,0.0,0.0,0.0
L000015,B0007,2023-04-15,3670.534839962293,30,0.10295794339812112,1.6098483434569815,0.0760315564131988,2412.1349422886547,35550.48788496393,4043752370.5662627,0.7582342954533831,15935.176915493974,0.041859411542165034,18,3.1641643795276524,1,6,2023-05-15,maturity,0,0.0,0.0,0.0
L000016,B0008,2023-04-10,7741.982861107561,90,0.10687720594460526,2.8494494065988656,0.22685323189287196,1268.6176439526582,21225.409199901183,18336277170.518158,0.36838946817435975,44841.43772909996,0.649237693775418,24,1.5653306325389345,0,8,2023-07-09,maturity,0,0.0,0.0,0.0
L000017,B0008,2023-12-19,4373.9080005588,365,0.07108752703398065,1.7635288256949992,0.3298344096105355,2082.9547754680007,50470.95317433652,11015920178.126509,0.36838946817435975,44841.43772909996,0.649237693775418,24,1.5653306325389345,0,8,2024-12-18,maturity,0,0.0,0.0,0.0
L000018,B0008,2023-09-28,2019.1136055459572,30,0.1757880489037436,1.8560789408068055,0.2804410970923577,2503.048232800735,36383.83537820866,5585213363.886869,0.36838946817435975,44841.43772909996,0.649237693775418,24,1.5653306325389345,0,8,2023-10-28,maturity,0,0.0,0.0,0.0
