loan_id,borrower_id,application_date,event_date,days_to_event,event_type,defaulted,loss_given_default,loss_amount,default_probability
L000001,B0001,2023-01-26,2023-04-26,90,maturity,False,0.0,0.0,0.0
L000002,B0002,2023-08-17,2023-10-16,60,maturity,False,0.0,0.0,0.0
L000003,B0002,2023-04-15,2024-04-14,365,maturity,False,0.0,0.0,0.0
L000004,B0003,2024-08-27,2025-02-23,180,maturity,False,0.0,0.0,0.0
L000005,B0004,2023-01-31,2023-03-02,30,maturity,False,0.0,0.0,0.0
L000006,B0005,2023-08-27,2024-08-26,365,maturity,False,0.0,0.0,0.0
L000007,B0005,2024-09-08,2024-10-08,30,maturity,False,0.0,0.0,0.0
L000008,B0006,2023-07-23,2024-07-22,365,maturity,False,0.0,0.0,0.0
L000009,B0006,2024-03-05,2024-05-04,60,maturity,False,0.0,0.0,0.0
L000010,B0006,2024-04-04,2025-04-04,365,maturity,False,0.0,0.0,0.0
L000011,B0006,2023-10-12,2023-11-11,30,maturity,False,0.0,0.0,0.0
L000012,B0006,2023-06-13,2023-12-10,180,maturity,False,0.0,0.0,0.0
L000013,B0007,2023-10-12,2023-12-11,60,maturity,False,0.0,0.0,0.0
L000014,B0007,2023-08-09,2023-11-07,90,maturity,False,0.0,0.0,0.0
L000015,B0007,2023-04-15,2023-05-15,30,maturity,False,0.0,0.0,0.0
L000016,B0008,2023-04-10,2023-07-09,90,maturity,False,0.0,0.0,0.0
L000017,B0008,2023-12-19,2024-12-18,365,maturity,False,0.0,0.0,0.0
L000018,B0008,2023-09-28,2023-10-28,30,maturity,False,0.0,0.0,0.0
L000019,B0008,2024-04-15,2025-04-15,365,maturity,False,0.0,0.0,0.0
L000020,B0009,2024-01-23,2024-02-22,30,maturity,False,0.0,0.0,0.0
L000021,B0010,2023-10-28,2024-10-27,365,maturity,False,0.0,0.0,0.0
L000022,B0010,2024-01-06,2025-01-05,365,maturity,False,0.0,0.0,0.0
L000023,B0010,2023-07-16,2023-08-15,30,maturity,False,0.0,0.0,0.0
L000024,B0010,2023-02-16,2023-04-17,60,maturity,False,0.0,0.0,0.0
L000025,B0010,2023-10-24,2023-11-23,30,maturity,False,0.0,0.0,0.0
L000026,B0011,2023-04-14,2023-10-11,180,maturity,False,0.0,0.0,0.0
L000027,B0011,2023-10-12,2024-04-09,180,maturity,False,0.0,0.0,0.0
L000028,B0012,2023-06-16,2023-09-14,90,maturity,False,0.0,0.0,0.0
L000029,B0012,2023-12-30,2024-02-28,60,maturity,False,0.0,0.0,0.0
L000030,B0012,2024-11-17,2025-02-15,90,maturity,False,0.0,0.0,0.0
L000031,B0013,2024-09-15,2024-11-14,60,maturity,False,0.0,0.0,0.0
L000032,B0014,2023-09-08,2023-11-07,60,maturity,False,0.0,0.0,0.0
L000033,B0014,2024-04-18,2024-10-15,180,maturity,False,0.0,0.0,0.0
L000034,B0014,2023-10-04,2024-10-03,365,maturity,False,0.0,0.0,0.0
L000035,B0014,2023-08-13,2023-11-11,90,maturity,False,0.0,0.0,0.0
L000036,B0014,2023-02-27,2023-04-28,60,maturity,False,0.0,0.0,0.0
L000037,B0015,2023-11-20,2024-01-25,66,default,True,0.07632948143584374,2443.0100172741522,1.0
L000038,B0016,2023-03-09,2023-05-08,60,maturity,False,0.0,0.0,0.0
L000039,B0016,2024-08-03,2024-11-01,90,maturity,False,0.0,0.0,0.0
L000040,B0016,2023-08-06,2024-02-02,180,maturity,False,0.0,0.0,0.0
L000041,B0017,2024-10-20,2025-04-18,180,maturity,False,0.0,0.0,0.0
L000042,B0017,2023-05-27,2023-08-25,90,maturity,False,0.0,0.0,0.0
L000043,B0017,2023-05-23,2023-07-22,60,maturity,False,0.0,0.0,0.0
L000044,B0017,2024-07-28,2025-07-28,365,maturity,False,0.0,0.0,0.0
L000045,B0018,2024-08-21,2025-02-17,180,maturity,False,0.0,0.0,0.0
L000046,B0018,2024-08-20,2025-02-16,180,maturity,False,0.0,0.0,0.0
L000047,B0018,2024-01-06,2024-02-15,40,default,True,0.14026589802805015,5987.361477127959,1.0
L000048,B0019,2024-06-05,2024-12-02,180,maturity,False,0.0,0.0,0.0
L000049,B0019,2023-04-04,2023-05-04,30,maturity,False,0.0,0.0,0.0
L000050,B0020,2023-06-06,2023-08-05,60,maturity,False,0.0,0.0,0.0
L000051,B0021,2024-09-02,2024-10-02,30,maturity,False,0.0,0.0,0.0
L000052,B0021,2024-01-30,2024-07-28,180,maturity,False,0.0,0.0,0.0
L000053,B0021,2024-09-02,2025-03-01,180,maturity,False,0.0,0.0,0.0
L000054,B0021,2024-06-25,2024-09-23,90,maturity,False,0.0,0.0,0.0
L000055,B0022,2023-01-12,2023-02-11,30,maturity,False,0.0,0.0,0.0
L000056,B0022,2024-11-29,2025-11-29,365,maturity,False,0.0,0.0,0.0
L000057,B0022,2023-10-01,2023-12-30,90,maturity,False,0.0,0.0,0.0
L000058,B0022,2023-04-25,2023-07-24,90,maturity,False,0.0,0.0,0.0
L000059,B0022,2024-03-21,2024-05-20,60,maturity,False,0.0,0.0,0.0
